employee_id,zip,state,nearest_plant_city,nearest_plant_state,facility,category
EMP000001,43601,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000002,43450,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000003,43614,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000004,43432,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000005,43610,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000006,43604,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000007,43432,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000008,43609,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000009,43430,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000010,43607,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000011,43432,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000012,43445,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000013,43606,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000014,48133,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000015,43447,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000016,43528,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000017,43613,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000018,48162,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000019,43611,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000020,43605,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000021,49267,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000022,43430,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000023,48140,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000024,43560,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000025,43450,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000026,43447,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000027,43601,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000028,43623,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000029,43465,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000030,43611,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000031,43613,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000032,43605,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000033,43611,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000034,43432,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000035,43432,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000036,43469,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000037,43616,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000038,43606,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000039,43601,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000040,43611,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000041,43607,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000042,43566,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000043,43620,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000044,43616,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000045,43537,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000046,43611,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000047,43610,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000048,48144,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000049,43617,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000050,43560,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000051,49267,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000052,43447,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000053,43606,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000054,43619,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000055,43450,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000056,43609,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000057,43430,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000058,43615,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000059,43619,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000060,43611,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000061,48144,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000062,43601,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000063,43616,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000064,43612,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000065,43611,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000066,43608,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000067,48133,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000068,48162,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000069,43608,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000070,43615,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000071,43432,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000072,43616,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000073,43614,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000074,49270,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000075,48133,MI,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000076,43560,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000077,43605,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000078,43615,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000079,43412,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
EMP000080,43608,OH,Toledo,OH,One Owens Corning Parkway,Corporate Headquarters
