category,facility,city,state,zip
Corporate Headquarters,One Owens Corning Parkway,Toledo,OH,43659
Insulation & Composites Plant,Wagener Rd Facility,Aiken,SC,29801
Insulation & Composites Plant,Hollywood Rd Facility,Amarillo,TX,79104
Insulation & Composites Plant,Major Northeast Insulation Facility,Delmar / Feura Bush,NY,12067
Insulation & Composites Plant,Major Southeastern Hub,Fairburn,GA,30213
Insulation & Composites Plant,Science & Technology Center,Granville,OH,43023
Insulation & Composites Plant,Fiberglass Insulation Facility,Kansas City,KS,66115
Insulation & Composites Plant,Foam Insulation Facility,Mount Vernon,OH,43050
Insulation & Composites Plant,Original Insulation Facility,Newark,OH,43055
Insulation & Composites Plant,Fiberglass Insulation Plant,Waxahachie,TX,75165
Roofing & Asphalt Plant,Frederick Dr SW Facility,Atlanta,GA,30336
Roofing & Asphalt Plant,Mona Blvd Asphalt Facility,Compton,CA,90222
Roofing & Asphalt Plant,Duncanville Rd Shingle Plant,Dallas,TX,75236
Roofing & Asphalt Plant,N. Bannock St Plant,Denver,CO,80216
Roofing & Asphalt Plant,N. Nursery Rd Asphalt Plant,Irving,TX,75061
Roofing & Asphalt Plant,Talleyrand Ave Facility,Jacksonville,FL,32206
Roofing & Asphalt Plant,Newark-Jersey City Turnpike Shingle/Asphalt Facility,Kearny,NJ,07032
Roofing & Asphalt Plant,W. Smith Rd Shingle Plant,Medina,OH,44256
Roofing & Asphalt Plant,Asphalt Facility,Memphis,TN,38111
Roofing & Asphalt Plant,Asphalt Facility,Minneapolis,MN,55412
Roofing & Asphalt Plant,Asphalt & Components Facility,Oklahoma City,OK,73131
Roofing & Asphalt Plant,NW St. Helens Rd Facility,Portland / Linnton,OR,97231
Roofing & Asphalt Plant,New Shingle Facility,Prattville,AL,36067
Roofing & Asphalt Plant,Asphalt Plant,Summit,IL,60501
