employee_id,zip,state
EMP000001,07030,NJ
EMP000002,53813,WI
EMP000003,34108,FL
EMP000004,96031,CA
EMP000005,84028,UT
EMP000006,20171,VA
EMP000007,92320,CA
EMP000008,33621,FL
EMP000009,92231,CA
EMP000010,65260,MO
EMP000011,85298,AZ
EMP000012,30564,GA
EMP000013,35016,AL
EMP000014,80228,CO
EMP000015,46990,IN
EMP000016,11733,NY
EMP000017,83424,ID
EMP000018,93611,CA
EMP000019,93311,CA
EMP000020,24581,VA
EMP000021,94514,CA
EMP000022,48809,MI
EMP000023,92861,CA
EMP000024,71063,LA
EMP000025,06517,CT
EMP000026,98126,WA
EMP000027,92359,CA
EMP000028,80118,CO
EMP000029,97068,OR
EMP000030,62349,IL
EMP000031,08098,NJ
EMP000032,76890,TX
EMP000033,32735,FL
EMP000034,47933,IN
EMP000035,95546,CA
EMP000036,79063,TX
EMP000037,33198,FL
EMP000038,62838,IL
EMP000039,32903,FL
EMP000040,40144,KY
EMP000041,32083,FL
EMP000042,29550,SC
EMP000043,32567,FL
EMP000044,89169,NV
EMP000045,33410,FL
EMP000046,62363,IL
EMP000047,75702,TX
EMP000048,33545,FL
EMP000049,49696,MI
EMP000050,99026,WA
EMP000051,15701,PA
EMP000052,27330,NC
EMP000053,53184,WI
EMP000054,75845,TX
EMP000055,29569,SC
EMP000056,23235,VA
EMP000057,62419,IL
EMP000058,49235,MI
EMP000059,97007,OR
EMP000060,01119,MA
EMP000061,01966,MA
EMP000062,54867,WI
EMP000063,16727,PA
EMP000064,44303,OH
EMP000065,95968,CA
EMP000066,06410,CT
EMP000067,03841,NH
EMP000068,75481,TX
EMP000069,74003,OK
EMP000070,42036,KY
EMP000071,22576,VA
EMP000072,60712,IL
EMP000073,49751,MI
EMP000074,71601,AR
EMP000075,23704,VA
EMP000076,93512,CA
EMP000077,06460,CT
EMP000078,32648,FL
EMP000079,06078,CT
EMP000080,94588,CA
EMP000081,36769,AL
EMP000082,80209,CO
EMP000083,38541,TN
EMP000084,78022,TX
EMP000085,74447,OK
EMP000086,26662,WV
EMP000087,54965,WI
EMP000088,76642,TX
EMP000089,61933,IL
EMP000090,44504,OH
EMP000091,30523,GA
EMP000092,32937,FL
EMP000093,95206,CA
EMP000094,32583,FL
EMP000095,95922,CA
EMP000096,07764,NJ
EMP000097,90134,CA
EMP000098,97045,OR
EMP000099,48519,MI
EMP000100,01368,MA
EMP000101,49655,MI
EMP000102,67643,KS
EMP000103,98541,WA
EMP000104,56762,MN
EMP000105,60462,IL
EMP000106,94070,CA
EMP000107,17372,PA
EMP000108,30093,GA
EMP000109,02135,MA
EMP000110,93705,CA
EMP000111,21871,MD
EMP000112,97303,OR
EMP000113,78059,TX
EMP000114,31061,GA
EMP000115,77517,TX
EMP000116,32181,FL
EMP000117,45659,OH
EMP000118,97067,OR
EMP000119,95119,CA
EMP000120,70117,LA
EMP000121,38917,MS
EMP000122,77622,TX
EMP000123,28215,NC
EMP000124,50264,IA
EMP000125,62035,IL
EMP000126,34266,FL
EMP000127,55781,MN
EMP000128,45860,OH
EMP000129,21851,MD
EMP000130,85935,AZ
EMP000131,76557,TX
EMP000132,32136,FL
EMP000133,98112,WA
EMP000134,53085,WI
EMP000135,94564,CA
EMP000136,28472,NC
EMP000137,77872,TX
EMP000138,92117,CA
EMP000139,90713,CA
EMP000140,01432,MA
EMP000141,62877,IL
EMP000142,33612,FL
EMP000143,91006,CA
EMP000144,44708,OH
EMP000145,98670,WA
EMP000146,66732,KS
EMP000147,01537,MA
EMP000148,33069,FL
EMP000149,78620,TX
EMP000150,12202,NY
EMP000151,38665,MS
EMP000152,95468,CA
EMP000153,82221,WY
EMP000154,92305,CA
EMP000155,27519,NC
EMP000156,66105,KS
EMP000157,06525,CT
EMP000158,12878,NY
EMP000159,71238,LA
EMP000160,14898,NY
EMP000161,37020,TN
EMP000162,02025,MA
EMP000163,14083,NY
EMP000164,91750,CA
EMP000165,34952,FL
EMP000166,95205,CA
EMP000167,76490,TX
EMP000168,24360,VA
EMP000169,19446,PA
EMP000170,07876,NJ
EMP000171,27871,NC
EMP000172,52738,IA
EMP000173,95543,CA
EMP000174,43840,OH
EMP000175,93267,CA
EMP000176,81071,CO
EMP000177,59240,MT
EMP000178,54669,WI
EMP000179,64725,MO
EMP000180,90804,CA
EMP000181,87416,NM
EMP000182,85621,AZ
EMP000183,98312,WA
EMP000184,43078,OH
EMP000185,14869,NY
EMP000186,03045,NH
EMP000187,50441,IA
EMP000188,02149,MA
EMP000189,95231,CA
EMP000190,06716,CT
EMP000191,04985,ME
EMP000192,76233,TX
EMP000193,73561,OK
EMP000194,06029,CT
EMP000195,76798,TX
EMP000196,56062,MN
EMP000197,29376,SC
EMP000198,34286,FL
EMP000199,47119,IN
EMP000200,74601,OK
EMP000201,34476,FL
EMP000202,72562,AR
EMP000203,14865,NY
EMP000204,73717,OK
EMP000205,92154,CA
EMP000206,61459,IL
EMP000207,73855,OK
EMP000208,18103,PA
EMP000209,62685,IL
EMP000210,10118,NY
EMP000211,92612,CA
EMP000212,76432,TX
EMP000213,95386,CA
EMP000214,45234,OH
EMP000215,56111,MN
EMP000216,23842,VA
EMP000217,95328,CA
EMP000218,75152,TX
EMP000219,63010,MO
EMP000220,49806,MI
EMP000221,49650,MI
EMP000222,66712,KS
EMP000223,15332,PA
EMP000224,68790,NE
EMP000225,07444,NJ
EMP000226,63932,MO
EMP000227,28716,NC
EMP000228,62079,IL
EMP000229,47574,IN
EMP000230,77340,TX
EMP000231,01718,MA
EMP000232,02719,MA
EMP000233,78220,TX
EMP000234,13421,NY
EMP000235,70543,LA
EMP000236,12852,NY
EMP000237,56360,MN
EMP000238,38318,TN
EMP000239,45120,OH
EMP000240,33315,FL
EMP000241,29175,SC
EMP000242,37770,TN
EMP000243,49403,MI
EMP000244,07205,NJ
EMP000245,35769,AL
EMP000246,01379,MA
EMP000247,29154,SC
EMP000248,92532,CA
EMP000249,19947,DE
EMP000250,40202,KY
EMP000251,31906,GA
EMP000252,99005,WA
EMP000253,27860,NC
EMP000254,78759,TX
EMP000255,96062,CA
EMP000256,97078,OR
EMP000257,55444,MN
EMP000258,78852,TX
EMP000259,48076,MI
EMP000260,85145,AZ
EMP000261,31312,GA
EMP000262,02032,MA
EMP000263,24473,VA
EMP000264,84535,UT
EMP000265,36619,AL
EMP000266,45761,OH
EMP000267,85224,AZ
EMP000268,54527,WI
EMP000269,30523,GA
EMP000270,41074,KY
EMP000271,80908,CO
EMP000272,27853,NC
EMP000273,32189,FL
EMP000274,63660,MO
EMP000275,32835,FL
EMP000276,84026,UT
EMP000277,76201,TX
EMP000278,60645,IL
EMP000279,63113,MO
EMP000280,44035,OH
EMP000281,85705,AZ
EMP000282,94014,CA
EMP000283,62912,IL
EMP000284,87014,NM
EMP000285,97918,OR
EMP000286,99223,WA
EMP000287,93433,CA
EMP000288,12725,NY
EMP000289,97443,OR
EMP000290,49676,MI
EMP000291,85298,AZ
EMP000292,27917,NC
EMP000293,43056,OH
EMP000294,62083,IL
EMP000295,21223,MD
EMP000296,71674,AR
EMP000297,89835,NV
EMP000298,01082,MA
EMP000299,37308,TN
EMP000300,73568,OK
EMP000301,93609,CA
EMP000302,12945,NY
EMP000303,14738,NY
EMP000304,06420,CT
EMP000305,54443,WI
EMP000306,32202,FL
EMP000307,31630,GA
EMP000308,93427,CA
EMP000309,32168,FL
EMP000310,56468,MN
EMP000311,90094,CA
EMP000312,68466,NE
EMP000313,42367,KY
EMP000314,75639,TX
EMP000315,30214,GA
EMP000316,98445,WA
EMP000317,30535,GA
EMP000318,80232,CO
EMP000319,24458,VA
EMP000320,65534,MO
EMP000321,36036,AL
EMP000322,90062,CA
EMP000323,39474,MS
EMP000324,02790,MA
EMP000325,61044,IL
EMP000326,95818,CA
EMP000327,70456,LA
EMP000328,96161,CA
EMP000329,14211,NY
EMP000330,22438,VA
EMP000331,29689,SC
EMP000332,55959,MN
EMP000333,49449,MI
EMP000334,18080,PA
EMP000335,37026,TN
EMP000336,41855,KY
EMP000337,93505,CA
EMP000338,08618,NJ
EMP000339,64422,MO
EMP000340,78007,TX
EMP000341,96778,HI
EMP000342,08886,NJ
EMP000343,80817,CO
EMP000344,45236,OH
EMP000345,23089,VA
EMP000346,97058,OR
EMP000347,12934,NY
EMP000348,33304,FL
EMP000349,98952,WA
EMP000350,18042,PA
EMP000351,97202,OR
EMP000352,28107,NC
EMP000353,29479,SC
EMP000354,13680,NY
EMP000355,46793,IN
EMP000356,86047,AZ
EMP000357,68303,NE
EMP000358,33129,FL
EMP000359,27856,NC
EMP000360,47930,IN
EMP000361,64437,MO
EMP000362,29104,SC
EMP000363,12768,NY
EMP000364,46923,IN
EMP000365,01610,MA
EMP000366,31602,GA
EMP000367,18456,PA
EMP000368,14441,NY
EMP000369,30641,GA
EMP000370,32310,FL
EMP000371,21034,MD
EMP000372,78058,TX
EMP000373,68448,NE
EMP000374,79096,TX
EMP000375,28810,NC
EMP000376,24483,VA
EMP000377,48602,MI
EMP000378,59262,MT
EMP000379,12513,NY
EMP000380,75050,TX
EMP000381,63373,MO
EMP000382,32130,FL
EMP000383,85173,AZ
EMP000384,08759,NJ
EMP000385,90027,CA
EMP000386,99205,WA
EMP000387,28079,NC
EMP000388,75173,TX
EMP000389,34737,FL
EMP000390,27265,NC
EMP000391,60417,IL
EMP000392,98103,WA
EMP000393,79606,TX
EMP000394,98645,WA
EMP000395,92551,CA
EMP000396,79329,TX
EMP000397,44813,OH
EMP000398,55454,MN
EMP000399,56014,MN
EMP000400,31090,GA
EMP000401,13659,NY
EMP000402,58370,ND
EMP000403,98110,WA
EMP000404,24435,VA
EMP000405,96114,CA
EMP000406,76085,TX
EMP000407,32202,FL
EMP000408,75941,TX
EMP000409,85215,AZ
EMP000410,94304,CA
EMP000411,47362,IN
EMP000412,11782,NY
EMP000413,12086,NY
EMP000414,64443,MO
EMP000415,92392,CA
EMP000416,72131,AR
EMP000417,44629,OH
EMP000418,32405,FL
EMP000419,89085,NV
EMP000420,92027,CA
EMP000421,29714,SC
EMP000422,54734,WI
EMP000423,72752,AR
EMP000424,78801,TX
EMP000425,12763,NY
EMP000426,88414,NM
EMP000427,85730,AZ
EMP000428,90250,CA
EMP000429,84721,UT
EMP000430,11958,NY
EMP000431,92364,CA
EMP000432,26812,WV
EMP000433,20147,VA
EMP000434,82523,WY
EMP000435,98359,WA
EMP000436,39859,GA
EMP000437,43843,OH
EMP000438,78254,TX
EMP000439,45420,OH
EMP000440,27330,NC
EMP000441,31041,GA
EMP000442,14120,NY
EMP000443,92009,CA
EMP000444,14303,NY
EMP000445,28712,NC
EMP000446,87026,NM
EMP000447,30662,GA
EMP000448,32303,FL
EMP000449,03445,NH
EMP000450,73003,OK
EMP000451,38485,TN
EMP000452,30093,GA
EMP000453,76941,TX
EMP000454,08812,NJ
EMP000455,07065,NJ
EMP000456,78119,TX
EMP000457,76525,TX
EMP000458,45174,OH
EMP000459,27052,NC
EMP000460,03756,NH
EMP000461,29926,SC
EMP000462,78124,TX
EMP000463,93728,CA
EMP000464,91390,CA
EMP000465,30217,GA
EMP000466,37333,TN
EMP000467,28790,NC
EMP000468,14462,NY
EMP000469,34614,FL
EMP000470,28387,NC
EMP000471,33523,FL
EMP000472,76015,TX
EMP000473,72950,AR
EMP000474,53222,WI
EMP000475,73851,OK
EMP000476,81648,CO
EMP000477,45814,OH
EMP000478,55746,MN
EMP000479,35981,AL
EMP000480,21636,MD
EMP000481,99337,WA
EMP000482,74536,OK
EMP000483,48734,MI
EMP000484,14743,NY
EMP000485,85746,AZ
EMP000486,66618,KS
EMP000487,02859,RI
EMP000488,98526,WA
EMP000489,97438,OR
EMP000490,96044,CA
EMP000491,31007,GA
EMP000492,60644,IL
EMP000493,27106,NC
EMP000494,78266,TX
EMP000495,10804,NY
EMP000496,74523,OK
EMP000497,94508,CA
EMP000498,91789,CA
EMP000499,45044,OH
EMP000500,03055,NH
EMP000501,30546,GA
EMP000502,19492,PA
EMP000503,60431,IL
EMP000504,97835,OR
EMP000505,97414,OR
EMP000506,83633,ID
EMP000507,65452,MO
EMP000508,28515,NC
EMP000509,90715,CA
EMP000510,33881,FL
EMP000511,72207,AR
EMP000512,54462,WI
EMP000513,59075,MT
EMP000514,45162,OH
EMP000515,10121,NY
EMP000516,90504,CA
EMP000517,12553,NY
EMP000518,43748,OH
EMP000519,49251,MI
EMP000520,01337,MA
EMP000521,75398,TX
EMP000522,23232,VA
EMP000523,07830,NJ
EMP000524,28582,NC
EMP000525,77511,TX
EMP000526,08618,NJ
EMP000527,32040,FL
EMP000528,51230,IA
EMP000529,52217,IA
EMP000530,85050,AZ
EMP000531,44060,OH
EMP000532,57344,SD
EMP000533,08402,NJ
EMP000534,47341,IN
EMP000535,40831,KY
EMP000536,83012,WY
EMP000537,93615,CA
EMP000538,98628,WA
EMP000539,99568,AK
EMP000540,95634,CA
EMP000541,60026,IL
EMP000542,98087,WA
EMP000543,89523,NV
EMP000544,71466,LA
EMP000545,14877,NY
EMP000546,34442,FL
EMP000547,19075,PA
EMP000548,76306,TX
EMP000549,02333,MA
EMP000550,81144,CO
EMP000551,42404,KY
EMP000552,95503,CA
EMP000553,37843,TN
EMP000554,55046,MN
EMP000555,98276,WA
EMP000556,92867,CA
EMP000557,12812,NY
EMP000558,75661,TX
EMP000559,55981,MN
EMP000560,48503,MI
EMP000561,70501,LA
EMP000562,89511,NV
EMP000563,96782,HI
EMP000564,54138,WI
EMP000565,29607,SC
EMP000566,25164,WV
EMP000567,53706,WI
EMP000568,97874,OR
EMP000569,01745,MA
EMP000570,96797,HI
EMP000571,93652,CA
EMP000572,95076,CA
EMP000573,77008,TX
EMP000574,02152,MA
EMP000575,33040,FL
EMP000576,36268,AL
EMP000577,92392,CA
EMP000578,31829,GA
EMP000579,06478,CT
EMP000580,72181,AR
EMP000581,38317,TN
EMP000582,89161,NV
EMP000583,37212,TN
EMP000584,75127,TX
EMP000585,13088,NY
EMP000586,92395,CA
EMP000587,84043,UT
EMP000588,61928,IL
EMP000589,02364,MA
EMP000590,47542,IN
EMP000591,45248,OH
EMP000592,21157,MD
