practice,city,state,zip,consolidator,investor
Alaska Veterinary Clinic,Anchorage,AK,99503,NVA,JAB Holdings
Hillside Pet Clinic,Anchorage,AK,99507,NVA,JAB Holdings
Pet Emergency Treatment,Anchorage,AK,99507,Ethos Veterinary Health,JAB Holdings
PET Urgent Care,Anchorage,AK,99507,Ethos Veterinary Health,JAB Holdings
Southside Animal Hospital and Wellness Center,Anchorage,AK,99515,NVA,JAB Holdings
The Pet Stop,Anchorage,AK,99515,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
VCA Alaska Pet Care Animal Hospital,Anchorage,AK,99508,VCA,Mars
VCA Alpine Animal Hospital,Anchorage,AK,99515,VCA,Mars
VCA Bering Sea Animal Hospital,Anchorage,AK,99518,VCA,Mars
VCA East Anchorage Animal Hospital,Anchorage,AK,99504,VCA,Mars
Veterinary Specialists of Alaska,Anchorage,AK,99507,Ethos Veterinary Health,JAB Holdings
VCA Eagle River Animal Hospital,Eagle River,AK,99577,VCA,Mars
Mt. Mckinley Animal Hospital,Fairbanks,AK,99701,Mission Pet Health,Silver Lake and Shore Capital Partners
Tongass Veterinary Services,Juneau,AK,99801,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Kenai Veterinary Hospital,Kenai,AK,99611,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Kodiak Veterinary Clinic,Kodiak,AK,99615,NVA,JAB Holdings
North Pole Veterinary Hospital,North Pole,AK,99705,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Far Country Animal Hospital,Palmer,AK,99645,VCA,Mars
Soldotna Animal Hospital,Soldotna,AK,99669,NVA,JAB Holdings
All Creatures Veterinary Clinic,Wasilla,AK,99654,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
VCA Big Lake Animal Hospital,Wasilla,AK,99654,VCA,Mars
Wasilla Veterinary Clinic,Wasilla,AK,99654,NVA,JAB Holdings
Banfield Alabaster,Alabaster,AL,35007,Banfield,Mars
VCA Animal Medical Center of NE Alabama,Anniston,AL,36201,VCA,Mars
Eastside Animal Hospital,Athens,AL,35613,Mission Pet Health,Silver Lake and Shore Capital Partners
Delta Animal Hospital,Bay Minette,AL,36507,Heartland Veterinary Partners,Gryphon Investors
Avondale Animal Hospital,Birmingham,AL,35222,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Trussville,Birmingham,AL,35235,Banfield,Mars
Britt Animal Hospital,Birmingham,AL,35243,Mission Pet Health,Silver Lake and Shore Capital Partners
Cahaba Valley Animal Clinic,Birmingham,AL,35242,Innovetive Pet Care,Metalmark Capital
Caldwell Mill Animal Clinic,Birmingham,AL,35244,Mission Pet Health,Silver Lake and Shore Capital Partners
Nall Daniels Animal Hospital,Birmingham,AL,35209,Mission Pet Health,Silver Lake and Shore Capital Partners
NewDay Veterinary Care Birmingham,Birmingham,AL,35242,NewDay Veterinary Care / Pet Paradise,Crane Group
Trussville Main Street Animal Clinic,Birmingham,AL,35235,VetCor,Harvest Partners
Valleydale Animal Clinic,Birmingham,AL,35242,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Liberty Animal Hospital,Birmingham,AL,35243,VCA,Mars
Veterinary Specialists of Birmingham,Birmingham,AL,35242,Ethos Veterinary Health,JAB Holdings
B&A Animal Hospital,Boaz,AL,35957,Alliance Animal Health,L Catterton and LightBay Capital
Calera Animal Hospital,Calera,AL,35040,Heartland Veterinary Partners,Gryphon Investors
MAC Animal Hospital,Calera,AL,35040,Western Veterinary Partners,Tyree & D'Angelo Partners
Chelsea Animal Hospital,Chelsea,AL,35043,Mission Pet Health,Silver Lake and Shore Capital Partners
Pell City Animal Hospital,Cropwell,AL,35054,Mission Pet Health,Silver Lake and Shore Capital Partners
Animal Tracks Veterinary Hospital,Decatur,AL,35603,Heartland Veterinary Partners,Gryphon Investors
Banfield Decatur,Decatur,AL,35601,Banfield,Mars
Berry Animal Clinic,Decatur,AL,35603,CareVet,Compass Group Equity Partners
Vetco Total Care - Decatur,Decatur,AL,35601,Vetco Total Care,Petco
Dothan Animal Hospital,Dothan,AL,36301,American Veterinary Group,Oak Hill Capital
West Gate Veterinary Hospital,Enterprise,AL,36330,PetVet Care Centers,KKR
Colony Animal Clinic,Fairhope,AL,36532,NVA,JAB Holdings
Dykes Veterinary Clinic,Foley,AL,36535,American Veterinary Group,Oak Hill Capital
All Creatures Pet Hospital,Gardendale,AL,35071,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
VCA Magnolia by the Gulf,Gulf Shores,AL,36542,VCA,Mars
Helena Veterinary Clinic,Helena,AL,35080,Mission Pet Health,Silver Lake and Shore Capital Partners
Standifer's Animal Clinic,Homewood,AL,35209,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Becker Animal Hospital,Homewood,AL,35209,VCA,Mars
Banfield Hoover,Hoover,AL,35244,Banfield,Mars
BluePearl Pet Hospital Birmingham Hoover,Hoover,AL,35244,BluePearl Pet Hospital,Mars
Lake Crest Animal Clinic,Hoover,AL,35226,VetCor,Harvest Partners
Oak View Animal Hospital,Hoover,AL,35244,Mission Pet Health,Silver Lake and Shore Capital Partners
Patton Chapel Animal Clinic,Hoover,AL,35216,Mission Pet Health,Silver Lake and Shore Capital Partners
PetSuites Hoover,Hoover,AL,35244,NVA,JAB Holdings
UrgentVet Hoover,Hoover,AL,35216,American Veterinary Group,Oak Hill Capital
Animal Medical Clinic P.C.,Huntsville,AL,35806,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Huntsville,Huntsville,AL,35806,Banfield,Mars
Banfield Huntsville-Jones Valley,Huntsville,AL,35802,Banfield,Mars
Huntsville Pet Vet,Huntsville,AL,35805,Alliance Animal Health,L Catterton and LightBay Capital
McCurdy Animal Hospital,Huntsville,AL,35805,Alliance Animal Health,L Catterton and LightBay Capital
Trusty Vet,Huntsville,AL,35806,VetCor,Harvest Partners
Valley Animal Hospital & Pet Resort,Huntsville,AL,35802,NVA,JAB Holdings
Whitesburg Animal Hospital,Huntsville,AL,35802,PetVet Care Centers,KKR
Center Star Veterinary Services,Killen,AL,35645,PetVet Care Centers,KKR
All Animal Clinic,Leighton,AL,35646,PetVet Care Centers,KKR
Best Friends Animal Hospital,Madison,AL,35758,PetVet Care Centers,KKR
Madison Veterinary Hospital,Madison,AL,35758,Mission Pet Health,Silver Lake and Shore Capital Partners
McAdory Veterinary Clinic,McCalla,AL,35111,VetCor,Harvest Partners
Banfield Mobile,Mobile,AL,36608,Banfield,Mars
Banfield Mobile Bolton,Mobile,AL,36608,Banfield,Mars
MedVet Mobile,Mobile,AL,36606,MedVet,Minority stake by Leonard Green & Partners
Moffett Road Veterinary Clinic,Mobile,AL,36618,Alliance Animal Health,L Catterton and LightBay Capital
Village Animal Clinic,Mobile,AL,36609,American Veterinary Group,Oak Hill Capital
Westside Veterinary Hospital,Mobile,AL,36695,Alliance Animal Health,L Catterton and LightBay Capital
Banfield Montgomery,Montgomery,AL,36117,Banfield,Mars
Carmichael Road Animal Clinic,Montgomery,AL,36106,CareVet,Compass Group Equity Partners
East Montgomery Animal Hospital,Montgomery,AL,36117,CareVet,Compass Group Equity Partners
Goodwin Animal Hospital,Montgomery,AL,36109,Mission Pet Health,Silver Lake and Shore Capital Partners
Goodwin Animal Hospital at Pike Road,Montgomery,AL,36064,Mission Pet Health,Silver Lake and Shore Capital Partners
Montgomery Veterinary Associates - Carter Hill Road,Montgomery,AL,36106,Suveto,Levine Leichtman Capital
Pet Care Center,Montgomery,AL,36116,American Veterinary Group,Oak Hill Capital
Taylor Crossing Animal Hospital,Montgomery,AL,36117,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Carriage Hills Animal Hospital and Pet Resort,Montgomery,AL,36116,VCA,Mars
VCA Eastmont Vaughn Animal Hospital,Montgomery,AL,36116,VCA,Mars
Crossroads Animal Hospital,Moody,AL,35004,United Veterinary Care,Nordic Capital
St. Clair Animal Care,Moody,AL,35004,VetCor,Harvest Partners
Camp May,Northport,AL,35473,NVA,JAB Holdings
May Veterinary Clinic North,Northport,AL,35476,NVA,JAB Holdings
May Veterinary Northridge,Northport,AL,35473,NVA,JAB Holdings
Northcreek Veterinary Clinic,Northport,AL,35475,NVA,JAB Holdings
Branchville Animal Hospital,Odenville,AL,35120,VetCor,Harvest Partners
Opelika Animal Hospital,Opelika,AL,36801,VetCor,Harvest Partners
My Pet's Vet,Pelham,AL,35124,My Pet's Vet Group,Fulcrum Equity Partners
North Shelby County Animal Hospital,Pelham,AL,35124,VetCor,Harvest Partners
Crawford Road Animal Hospital,Phenix City,AL,36870,CareVet,Compass Group Equity Partners
Summerville Animal Hospital,Phenix City,AL,36867,PetVet Care Centers,KKR
Central Valley Animal Hospital,Rainbow City,AL,35906,PetVet Care Centers,KKR
Rainbow City Pet Clinic,Rainbow City,AL,35906,Blue River PetCare,Partners Group
Central Baldwin Veterinary Hospital,Robertsdale,AL,36567,NVA,JAB Holdings
TLC Veterinary Hospital,Semmes,AL,36575,VetCor,Harvest Partners
Smiths Station Animal Hospital,Smiths Station,AL,36877,VetCor,Harvest Partners
Banfield Spanish Fort,Spanish Fort,AL,36527,Banfield,Mars
Parvin Animal Clinic,Spanish Fort,AL,36527,Western Veterinary Partners,Tyree & D'Angelo Partners
Baldwin Animal Clinic,Summerdale,AL,36580,American Veterinary Group,Oak Hill Capital
Family Pet Care,Toney,AL,35773,Heartland Veterinary Partners,Gryphon Investors
Deerfoot Animal Clinic,Trussville,AL,35173,Blue River PetCare,Partners Group
Emergency Pet Care,Trussville,AL,35173,Alliance Animal Health,L Catterton and LightBay Capital
Animal Medical Center,Tuscaloosa,AL,35406,NVA,JAB Holdings
Indian Hills Animal Clinic,Tuscaloosa,AL,35406,Heartland Veterinary Partners,Gryphon Investors
Vestavia Animal Clinic,Vestavia Hills,AL,35216,Mission Pet Health,Silver Lake and Shore Capital Partners
Stewart Animal Clinic,Warrior,AL,35180,Mission Pet Health,Silver Lake and Shore Capital Partners
River Valley Animal Hospital,Barling,AR,72923,Western Veterinary Partners,Tyree & D'Angelo Partners
Benton Veterinary Hospital,Benton,AR,72015,Alliance Animal Health,L Catterton and LightBay Capital
Saline County Animal Clinic,Benton,AR,72019,PetVet Care Centers,KKR
Vetco Total Care - Benton,Benton,AR,72015,Vetco Total Care,Petco
All Pets Animal Hospital (Bentonville),Bentonville,AR,72712,Innovetive Pet Care,Metalmark Capital
Animal Urgent Care of Bentonville,Bentonville,AR,72712,Alliance Animal Health,L Catterton and LightBay Capital
Dogwood Trails Animal Hospital,Bentonville,AR,72712,Veterinary Practice Partners,Audax Private Equity
Osage Veterinary Clinic,Bentonville,AR,72712,CareVet,Compass Group Equity Partners
Cave Springs Veterinary Services,Cave Springs,AR,72718,CareVet,Compass Group Equity Partners
Van Buren County Vet Clinic,Clinton,AR,72031,Heartland Veterinary Partners,Gryphon Investors
Animal Care Center,Conway,AR,72032,Alliance Animal Health,L Catterton and LightBay Capital
Hartman Animal Hospital,Conway,AR,72034,Alliance Animal Health,L Catterton and LightBay Capital
Vilonia Animal Clinic,Conway,AR,72032,CareVet,Compass Group Equity Partners
Farmington Veterinary Clinic,Farmington,AR,72730,Thrive Pet Healthcare,TSG Consumer Partners
Animal Medical Clinic,Fayetteville,AR,72703,Alliance Animal Health,L Catterton and LightBay Capital
Best Friends Animal Hospital and Pet Hotel,Fayetteville,AR,72703,Thrive Pet Healthcare,TSG Consumer Partners
Wedington Animal Hospital,Fayetteville,AR,72704,Alliance Animal Health,L Catterton and LightBay Capital
Animal Clinic of the Ozarks,Flippin,AR,72634,Alliance Animal Health,L Catterton and LightBay Capital
Arkansas Veterinary Clinic,Fort Smith,AR,72908,Western Veterinary Partners,Tyree & D'Angelo Partners
Eastside Animal Hospital,Fort Smith,AR,72903,Alliance Animal Health,L Catterton and LightBay Capital
Labahn Veterinary Hospital,Fort Smith,AR,72904,Alliance Animal Health,L Catterton and LightBay Capital
Vetco Total Care - Fort Smith,Fort Smith,AR,72903,Vetco Total Care,Petco
St. Francis Veterinary Clinic,Green Forest,AR,72638,Alliance Animal Health,L Catterton and LightBay Capital
St. Francis Veterinary Clinic – Green Forest,Green Forest,AR,72638,Alliance Animal Health,L Catterton and LightBay Capital
Greenbrier Animal Hospital,Greenbrier,AR,72058,Heartland Veterinary Partners,Gryphon Investors
Greenwood Veterinary Clinic,Greenwood,AR,72936,CareVet,Compass Group Equity Partners
South County Animal Hospital,Greenwood,AR,72936,Thrive Pet Healthcare,TSG Consumer Partners
Countryside Animal Hospital,Hot Springs,AR,71913,NVA,JAB Holdings
Animal Medical Center of Jonesboro,Jonesboro,AR,72401,CareVet,Compass Group Equity Partners
Jonesboro Family Pet Hospital,Jonesboro,AR,72401,Western Veterinary Partners,Tyree & D'Angelo Partners
VetCare,Jonesboro,AR,72404,Western Veterinary Partners,Tyree & D'Angelo Partners
AllPets Animal Hospital,Little Rock,AR,72207,CareVet,Compass Group Equity Partners
Arkansas Veterinary Emergency & Specialists,Little Rock,AR,72212,PetVet Care Centers,KKR
Asher Animal Clinic,Little Rock,AR,72204,Heartland Veterinary Partners,Gryphon Investors
Banfield Little Rock,Little Rock,AR,72211,Banfield,Mars
Bellevue Animal Clinic,Little Rock,AR,72227,Alliance Animal Health,L Catterton and LightBay Capital
Bowman Road Animal Clinic,Little Rock,AR,72211,PetVet Care Centers,KKR
Briarwood Animal Hospital,Little Rock,AR,72204,Alliance Animal Health,L Catterton and LightBay Capital
Chenal Valley Animal Hospital,Little Rock,AR,72223,Alliance Animal Health,L Catterton and LightBay Capital
Hillcrest Animal Hospital,Little Rock,AR,72205,NVA,JAB Holdings
North Hills Animal Hospital,Little Rock,AR,72260,Western Veterinary Partners,Tyree & D'Angelo Partners
Pleasant Valley Veterinary Clinic,Little Rock,AR,72212,Mission Pet Health,Silver Lake and Shore Capital Partners
SoMa Animal Clinic and Housecalls,Little Rock,AR,72202,Heartland Veterinary Partners,Gryphon Investors
Lowell Veterinary Center,Lowell,AR,72745,CareVet,Compass Group Equity Partners
Magnolia Veterinary Services,Magnolia,AR,71753,Heartland Veterinary Partners,Gryphon Investors
Maumelle Animal Clinic,Maumelle,AR,72113,Alliance Animal Health,L Catterton and LightBay Capital
After Hour Animal Hospital,North Little Rock,AR,72117,Thrive Pet Healthcare,TSG Consumer Partners
Interstate Animal Clinic,North Little Rock,AR,72116,CareVet,Compass Group Equity Partners
Veterinary Healthcare Clinic,Paragould,AR,72450,Blue River PetCare,Partners Group
Oakview Animal Clinic,Pea Ridge,AR,72751,Alliance Animal Health,L Catterton and LightBay Capital
All Pets Animal Hospital (Rogers),Rogers,AR,72758,Innovetive Pet Care,Metalmark Capital
Faithful Friends Animal Clinic,Rogers,AR,72758,Alliance Animal Health,L Catterton and LightBay Capital
VEG ER for Pets,Rogers,AR,72758,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Vetco Total Care - Rogers,Rogers,AR,72756,Vetco Total Care,Petco
Westside Veterinary Clinic,Searcy,AR,72143,CareVet,Compass Group Equity Partners
Animal Emergency and Specialty Center of Northwest Arkansas,Springdale,AR,72762,Alliance Animal Health,L Catterton and LightBay Capital
Hancock Veterinary Services,Springdale,AR,72762,CareVet,Compass Group Equity Partners
Ozark Veterinary Specialty Care,Springdale,AR,72762,Thrive Pet Healthcare,TSG Consumer Partners
St. Francis Animal Hospital,Springdale,AR,72764,Alliance Animal Health,L Catterton and LightBay Capital
Hunter's Animal Hospital,White Hall,AR,71602,PetVet Care Centers,KKR
Anthem,Anthem,AZ,85086,Lovet Pet Health,The Aspen Group
Daisy Mountain Veterinary Hospital,Anthem,AZ,85086,VetCor,Harvest Partners
VCA Apache Junction Animal Hospital,Apache Junction,AZ,85120,VCA,Mars
Banfield Avondale,Avondale,AZ,85392,Banfield,Mars
Banfield Avondale Fiesta,Avondale,AZ,85323,Banfield,Mars
BluePearl Pet Hospital Avondale,Avondale,AZ,85392,BluePearl Pet Hospital,Mars
Eye Care for Animals - Avondale,Avondale,AZ,85392,Thrive Pet Healthcare,TSG Consumer Partners
Vetco Total Care - Avondale,Avondale,AZ,85392,Vetco Total Care,Petco
CityVet | Verrado,Buckeye,AZ,85396,CityVet,RiverGlade Capital
